id,file,subject,domain,scene_type,scene_context,size_bin,position_bin,background_complexity,occlusion_proxy,segmentation_fraction,mask_fill_ratio,sha256
01,01_husky_grass.jpg,husky,animals,outdoor,outdoor_natural_or_rural,large,center,high,medium,0.23881531,0.51694838,df432e5d643c4c66572a4151391ed87bf0e935ea8b4d091b04e045d025d4020c
02,02_horse_field.jpg,horse,animals,outdoor,outdoor_natural_or_rural,medium,center,low,medium,0.08009338,0.40326515,ff43ef00468b56cbb93754443f86d769e9340d01d431bc2dec4b700a5b48a095
03,03_cat_sofa.jpg,cat,animals,indoor,indoor_home,large,center,low,low,0.41550446,0.65098016,f95f90e1a3c4f105ed41992932e5d8611678668d3735fedd28713e546cc64755
04,04_car_field.jpg,car,vehicles,outdoor,outdoor_natural_or_rural,large,center,high,medium,0.23156738,0.63408367,b1e07d9484ac547e6705e6f22819932168dd49e701ced3c3c551feb03828b37d
05,05_bird_branch.jpg,bird,animals,outdoor,outdoor_natural_or_rural,large,center,medium,high,0.16410828,0.34372004,4d59c8da9a44b4961bc13209cb417df9356281e43a7cb251fc1a24e5b7a3b809
06,06_vase_table.jpg,glass candle holder,furniture_and_daily_objects,indoor,indoor_dining,medium,bottom,medium,low,0.08081436,0.95119432,2fc19d0be2f3a4eb6c4a9059d54df5b3b9c609f16351308d583ebea7f2b88a7e
07,07_boat_lake.jpg,boat,vehicles,outdoor,outdoor_natural_or_rural,medium,center,low,medium,0.08656693,0.54418359,043e62972831edbab68d1fd7e62bc6a422b0746e968dfcee74de94313fd21a8e
08,08_sheep_field.jpg,sheep,animals,outdoor,outdoor_natural_or_rural,medium,center,high,medium,0.08015442,0.51389161,6db0407af5a613c6c9dfe1311ed7471000c614b8a6ed3e4af42dd096c66b099b
09,09_bench_park.jpg,bench,furniture_and_daily_objects,outdoor,outdoor_urban_or_built,small,right,high,high,0.04587936,0.29170507,e260a3a2358dd6d6b257a08c5ce22fc7ecbe011422f96f79b43141935ecc2ef4
10,10_airplane_runway.jpg,airplane,vehicles,outdoor,outdoor_urban_or_built,small,center,low,high,0.06963730,0.26807742,45a0119ac28fe4abe134502685f7d915e37aff787f9443e3df83084dfcdbaf23
11,11_bus_road.jpg,bus,vehicles,outdoor,outdoor_urban_or_built,large,center,medium,low,0.58619690,0.82681216,c1dd1ad1bc51a1e611859ec8fc4585651183cf38ad679b80d9be02f41ac88cf9
12,12_backpack_ground.jpg,backpack,furniture_and_daily_objects,outdoor,outdoor_urban_or_built,large,center,low,low,0.45348358,0.88269625,7cd91fdc514c1e3a6ecb015a07a2cc9ea7fb6758a755cd5c290acb5c9e20e130
