id,file,subject,domain,scene_type,scene_context,size_bin,position_bin,background_complexity,occlusion_proxy,segmentation_fraction,mask_fill_ratio,sha256
01,01_husky_grass.jpg,husky,animals,outdoor,outdoor_natural_or_rural,large,center,high,medium,0.23914931,0.51965812,f758d26b81b8655ae579df2e0202e62584662f6cfd6a0e27f21d12c545f2111f
02,02_horse_field.jpg,horse,animals,outdoor,outdoor_natural_or_rural,medium,center,low,medium,0.08051215,0.40657534,a08412673d6d6f682519027f57ca2fbac85803ea2ad4118d64d738670a8a67cc
03,03_cat_sofa.jpg,cat,animals,indoor,indoor_home,large,center,low,low,0.41574436,0.65043342,8acac5b47894089f6d16e001ca297ffece906870b1d28ebe96d8fa8836cba61a
04,04_car_field.jpg,car,vehicles,outdoor,outdoor_natural_or_rural,large,center,high,medium,0.23209635,0.63495362,93f3388604f326ce615ceb9acd9951e10a5a427e347073426041f5b5ec591fed
05,05_bird_branch.jpg,bird,animals,outdoor,outdoor_natural_or_rural,large,center,medium,high,0.16419813,0.34314059,8324b56a73f6b473c76bc49cac6c2e1242bf7fa3ca82362cbd8204f3d2f78c5e
06,06_vase_table.jpg,glass candle holder,furniture_and_daily_objects,indoor,indoor_dining,medium,bottom,medium,low,0.08075629,0.94507937,2bc07ad6a6b8d206d02b9ac2b38cbaca4c796b90fde65be02791be4dcb1f5bf7
07,07_boat_lake.jpg,boat,vehicles,outdoor,outdoor_natural_or_rural,medium,center,low,medium,0.08701579,0.54553571,6475a24f558a78abadeb8cefe48d07986a4ffa15e1790b0ca2c8664174dd1494
08,08_sheep_field.jpg,sheep,animals,outdoor,outdoor_natural_or_rural,medium,center,high,medium,0.08051215,0.51554629,ee9c5e3a6fd1f55f35977e7384097b8263ad9734353c4621d2ff9c0d48114306
09,09_bench_park.jpg,bench,furniture_and_daily_objects,outdoor,outdoor_urban_or_built,small,right,high,high,0.04576959,0.28965665,81a1cfbd5d06d7dc1fcf95e1a1330c1a710c4259522a421991dd63d6cc2f7218
10,10_airplane_runway.jpg,airplane,vehicles,outdoor,outdoor_urban_or_built,small,center,low,high,0.06983100,0.26815104,b048ca51741f5391de4c1f4b762d56e2b4089e27fff2e318e4dba042a964062f
11,11_bus_road.jpg,bus,vehicles,outdoor,outdoor_urban_or_built,large,center,medium,low,0.58641900,0.82788565,17c43d1d50b4a3ea49c6702cb2b4e0b2f9e31f4329527f622b674d68727b85a2
12,12_backpack_ground.jpg,backpack,furniture_and_daily_objects,outdoor,outdoor_urban_or_built,large,center,low,low,0.45427110,0.88499141,0b95fe5da881af59f9f5b35dfb9f33dd62f95f01d58965d8013ff8e9e5667a2e
13,13_guitar_wall.jpg,guitar,furniture_and_daily_objects,indoor,indoor_home,medium,bottom,low,high,0.15978326,0.35661742,6b8639be92517a89782f1c134d2b7144733a7ad21879c60b1630aca20c1c067d
14,14_camera_table.jpg,camera,furniture_and_daily_objects,indoor,indoor_workplace_or_public,medium,center,medium,low,0.11315240,0.68889348,c3144ba8da20a14b4aa6f69c88d74269b938d0a21565241eb85362ca5f1ce2a1
15,15_basketball_court.jpg,basketball,furniture_and_daily_objects,outdoor,outdoor_recreational,medium,center,low,medium,0.15003798,0.58454872,2cdce249d81a22b18a14bf0ea6f7d4635f754bd9c808fc77870c68c465e729dd
16,16_legacy_01_woman.jpg,woman,people,outdoor,outdoor_natural_or_rural,large,center,high,medium,0.21670193,0.55828500,00a9573730268adb15dad7bb6b9a85efd5e9ab0106631f97bffb06a0e12c6a8e
17,17_legacy_02_boat.jpg,boat,vehicles,outdoor,outdoor_natural_or_rural,small,center,medium,medium,0.07012939,0.64030960,20fe441852953cf5a75734b5a2c09a95ac278036db48b5cda59917fbd179cc5d
18,18_legacy_03_dog.jpg,dog,animals,outdoor,outdoor_natural_or_rural,large,center,low,low,0.24896240,0.76947746,23f043e4f713a10c1d2fe5fc99feca24489c20e9dc0258536a22aa7ff097f36f
19,19_coco_dog.png,dog,animals,outdoor,outdoor_natural_or_rural,small,top,high,high,0.03683133,0.32653920,80d3d65fb604b156a20e5b7a68885ea14514d054de24343e6226e3c16cbee801
20,20_legacy_05_polar_bear_cub.jpg,puppy,animals,outdoor,outdoor_natural_or_rural,medium,center,low,medium,0.15250651,0.45982088,05e350647d17f9e22142b18c0997a1c4062560c87a7200477e828c303f9d516c
21,21_legacy_06_archer.jpg,archer,people,outdoor,outdoor_recreational,medium,center,high,medium,0.09522841,0.57016404,13240fcdeb8a1e64fa789a661c2aac088a0c58c83a54a396f7e518e2505cdebf
22,22_legacy_07_bus.jpg,bus,vehicles,outdoor,outdoor_urban_or_built,small,left,high,low,0.06146240,0.79920635,9bdc4498a79546840d5634ecc405792b6c7b86ab49d3cec05edb0d907dc6df69
23,23_legacy_08_vase.jpg,perfume bottle,furniture_and_daily_objects,indoor,indoor_home,medium,center,low,low,0.12685818,0.88369237,5e1c59bec8eacf4cee185f5939e1acf9022774798e082adf2e6d56ddf821fef6
24,24_legacy_09_cactus.jpg,pineapple,food,indoor,indoor_workplace_or_public,small,left,low,medium,0.04389784,0.63386212,776fa0e4d9570137a00a3305be12bc914bccc2169f81b5e403c4cc036a3a1a6f
25,25_legacy_10_bear.jpg,hiker,people,outdoor,outdoor_natural_or_rural,small,center,high,high,0.02180990,0.37978271,41082a8e789145c57b8cbcde5ae5bd2409a3ea0e35cc2985f4587fbe9821fd4f
26,26_skier.png,skier,people,outdoor,outdoor_recreational,medium,center,low,medium,0.13709174,0.58987453,3150d0761725eadfc384e014257653d4a506ee747ee87af0d69c2092ef4e1c4c
27,27_bicycle.png,bicycle,vehicles,outdoor,outdoor_urban_or_built,medium,center,low,medium,0.09380425,0.57425167,179e8d4a48415f7e2a1f4dfb3ed8322424ac6a5f06cea0fa26762b86fb455887
28,28_motorcycle.png,motorcycle,vehicles,outdoor,outdoor_urban_or_built,medium,center,high,medium,0.14160156,0.56642162,457d1ae489c07914a378c5bbb1285ea8ab8a7034234d84816c7c7b6737699918
29,29_train.png,train,vehicles,outdoor,outdoor_urban_or_built,medium,center,medium,low,0.14728461,0.66076427,027edfc18ad82550a0fb48861c61985168dbb3f1fc42c68b231f44bad042be76
30,30_truck.png,truck,vehicles,outdoor,outdoor_urban_or_built,medium,center,medium,low,0.14301893,0.77951504,c32b1260f10273e6ee22db2d16db784f2e2a53ab530153ae3e87077828608575
31,31_elephant.png,elephant,animals,outdoor,outdoor_natural_or_rural,medium,center,high,medium,0.12398275,0.46145691,ffc01865976c011a9090a274adb71c66f04bc0f38562b1c9ab6837951f660720
32,32_giraffe.png,giraffe,animals,outdoor,outdoor_natural_or_rural,medium,center,high,high,0.08045790,0.33053799,5d71268a31981b103602e5eec307d41907b11a2b781837e1d8ee0ad7ce99dd3d
33,33_zebra.png,zebra,animals,outdoor,outdoor_natural_or_rural,medium,center,high,medium,0.14576552,0.58069919,8c13e8165f493c431da6b76acf0b15bfdf631236f2b4211caeed7f4a37e04d98
